dataset,reference_year,window,metric_type,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,estimate_or_contrast,direction_flag,notes
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,same,medicaid_exit_next,204,276929544.37,0.1273,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,same,medicaid_exit_to_uninsured_next,204,276929544.37,0.2393,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_next,203,275878632.18,-0.0116,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_to_uninsured_next,203,275878632.18,-0.004,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_next,153,208140509.34,0.0591,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_to_uninsured_next,153,208140509.34,0.0946,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_next,201,270195316.03,0.0354,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_to_uninsured_next,201,270195316.03,0.0868,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,same,medicaid_exit_next,204,276929544.37,0.0484,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,204,276929544.37,-0.0688,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_next,203,275878632.18,0.0154,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,203,275878632.18,-0.0425,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_next,153,208140509.34,-0.0848,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,153,208140509.34,-0.2043,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_next,201,270195316.03,0.0735,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,201,270195316.03,0.0086,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,same,medicaid_exit_next,204,276929544.37,0.0113,expected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,same,medicaid_exit_to_uninsured_next,204,276929544.37,0.11,expected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_next,203,275878632.18,-0.0631,unexpected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_to_uninsured_next,203,275878632.18,-0.0208,unexpected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_next,153,208140509.34,0.0056,expected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_to_uninsured_next,153,208140509.34,0.1039,expected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_next,201,270195316.03,-0.0227,unexpected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_to_uninsured_next,201,270195316.03,0.0518,expected,Raw renewal-due count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,same,medicaid_exit_next,204,276929544.37,0.0023,expected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,same,medicaid_exit_to_uninsured_next,204,276929544.37,0.1087,expected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lag1,medicaid_exit_next,203,275878632.18,-0.0589,unexpected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lag1,medicaid_exit_to_uninsured_next,203,275878632.18,-0.0069,unexpected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lead1,medicaid_exit_next,153,208140509.34,0.0167,expected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lead1,medicaid_exit_to_uninsured_next,153,208140509.34,0.1131,expected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lag2,medicaid_exit_next,201,270195316.03,-0.0185,unexpected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_count,lag2,medicaid_exit_to_uninsured_next,201,270195316.03,0.0638,expected,Raw pending count; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_rate,same,medicaid_exit_next,204,276929544.37,-0.0159,unexpected,Pending renewals as a rate-type backlog measure.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,204,276929544.37,0.0697,expected,Pending renewals as a rate-type backlog measure.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_rate,lag1,medicaid_exit_next,203,275878632.18,-0.0689,unexpected,Pending renewals as a rate-type backlog measure.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,203,275878632.18,-0.0294,unexpected,Pending renewals as a rate-type backlog measure.
SIPP,2023,core_aug_nov_2023,weighted_corr,pending_backlog_burden,pending_rate,lead1,medicaid_exit_next,153,208140509.34,0.118,expected,Pending renewals as a rate-type backlog measure.
