event_id,state_name,state_abbr,state_fips,federal_or_state_source,source_id,source_url,local_file_path,document_title,page_number_or_section,policy_authority,policy_category,policy_subcategory,policy_description_short,affected_population,posted_date,approval_date,effective_start_date,effective_end_date,renewal_due_month_start,renewal_due_month_end,implementation_month_start,implementation_month_end,extracted_date_text,quoted_evidence_text,confidence,ambiguity_flag,notes
evt_e14_AL,Alabama,AL,01,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 15 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_AK,Alaska,AK,02,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 10 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_AZ,Arizona,AZ,04,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 12 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_AR,Arkansas,AR,05,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 14 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Arkansas: total=14; ex parte=2; form support=6; contact update=1; reinstatement=2; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_CA,California,CA,06,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 17 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",California: total=17; ex parte=3; form support=7; contact update=1; reinstatement=3; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_CO,Colorado,CO,08,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 15 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Colorado: total=15; ex parte=2; form support=7; contact update=1; reinstatement=2; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_CT,Connecticut,CT,09,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 12 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Connecticut: total=12; ex parte=2; form support=5; contact update=1; reinstatement=1; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_DE,Delaware,DE,10,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 13 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Delaware: total=13; ex parte=2; form support=5; contact update=1; reinstatement=2; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_DC,District of Columbia,DC,11,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 13 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",District of Columbia: total=13; ex parte=2; form support=6; contact update=1; reinstatement=2; other=2,medium,True,"Use as documented strategy count, not precise implementation timing."
evt_e14_FL,Florida,FL,12,federal,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,data_raw/policy_text/federal/federal__medicaid.gov__e14_waiver_approvals_archived_table.txt,CMS E14 waiver approvals archived table text,state table,Section 1902(e)(14)(A),ex_parte_increase,e14_strategy_counts,CMS table reports 11 approved E14 strategies.,Medicaid/CHIP beneficiaries subject to unwinding renewals,2024-12-11,,,,,,,,"Approved E14 strategies as of December 11, 2024; state implementation months not provided.",Florida: total=11; ex parte=1; form support=5; contact update=1; reinstatement=1; other=3,medium,True,"Use as documented strategy count, not precise implementation timing."
