variable,family,year,present_in_schema,label,same_broad_meaning_as_first_available_year,user_note_hazard_summary,stacking_assessment
SSUID,id_key,2018,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2019,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2020,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2021,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2022,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2023,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SSUID,id_key,2024,Y,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2018,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2019,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2020,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
