scope,year,rows,constructible_rows,enrollment,any_turnover_count,any_turnover_share_constructible,across_issuer_count,across_issuer_share_constructible,within_only_count,lowest_turnover_count,second_lowest_turnover_count,both_lowest_and_second_count,lowest_across_count,second_lowest_across_count,notes,state,pooled
year,2022.0,2159,2158,9636199.0,1727,0.8002780352177943,96,0.04448563484708063,1631,1108,1650,1031,89,93,Debug decomposition for treatment-count mismatch; descriptive only.,,
year,2023.0,2159,2159,11503884.0,1503,0.6961556276053729,13,0.006021306160259379,1490,973,1415,885,9,12,Debug decomposition for treatment-count mismatch; descriptive only.,,
year,2024.0,2159,2159,15900650.0,1395,0.6461324687355257,14,0.006484483557202408,1381,1019,1185,809,4,14,Debug decomposition for treatment-count mismatch; descriptive only.,,
state_year,2022.0,67,67,219314.0,14,0.208955223880597,0,0.0,14,7,14,7,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2023.0,67,67,258327.0,61,0.9104477611940298,0,0.0,61,21,61,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2024.0,67,67,386195.0,53,0.7910447761194029,0,0.0,53,50,53,50,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2022.0,75,75,88226.0,75,1.0,0,0.0,75,0,75,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2023.0,75,75,100407.0,75,1.0,0,0.0,75,75,75,75,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2024.0,75,75,156607.0,0,0.0,0,0.0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2022.0,15,15,199706.0,9,0.6,0,0.0,9,9,9,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AZ,
state_year,2023.0,15,15,235229.0,8,0.5333333333333333,0,0.0,8,3,8,3,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AZ,
state_year,2024.0,15,15,348055.0,12,0.8,0,0.0,12,7,12,7,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AZ,
state_year,2022.0,3,3,32113.0,0,0.0,0,0.0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,DE,
state_year,2023.0,3,3,34742.0,3,1.0,0,0.0,3,3,3,3,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,DE,
state_year,2024.0,3,3,44842.0,3,1.0,0,0.0,3,3,3,3,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,DE,
state_year,2022.0,67,67,2723094.0,66,0.9850746268656716,1,0.014925373134328358,65,57,66,57,1,1,Debug decomposition for treatment-count mismatch; descriptive only.,FL,
state_year,2023.0,67,67,3225435.0,53,0.7910447761194029,0,0.0,53,49,47,43,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,FL,
state_year,2024.0,67,67,4211902.0,52,0.7761194029850746,4,0.05970149253731343,48,45,47,40,0,4,Debug decomposition for treatment-count mismatch; descriptive only.,FL,
state_year,2022.0,145,145,633138.0,145,1.0,0,0.0,145,145,144,144,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,GA,
state_year,2023.0,145,145,790585.0,99,0.6827586206896552,0,0.0,99,96,95,92,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,GA,
state_year,2024.0,145,145,1160349.0,110,0.7586206896551724,0,0.0,110,79,110,79,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,GA,
state_year,2022.0,99,99,72240.0,93,0.9393939393939394,0,0.0,93,34,73,14,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IA,
state_year,2023.0,99,99,82704.0,98,0.98989898989899,0,0.0,98,18,90,10,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IA,
state_year,2024.0,99,99,111423.0,63,0.6363636363636364,0,0.0,63,24,59,20,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IA,
state_year,2022.0,102,102,323427.0,45,0.4411764705882353,0,0.0,45,14,45,14,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IL,
state_year,2023.0,102,102,342995.0,86,0.8431372549019608,0,0.0,86,54,83,51,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IL,
state_year,2024.0,102,102,398814.0,69,0.6764705882352942,0,0.0,69,68,27,26,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IL,
state_year,2022.0,92,92,156926.0,92,1.0,0,0.0,92,35,92,35,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IN,
state_year,2023.0,92,92,185354.0,73,0.7934782608695652,0,0.0,73,54,73,54,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,IN,
state_year,2024.0,92,92,295772.0,71,0.7717391304347826,6,0.06521739130434782,65,60,60,49,0,6,Debug decomposition for treatment-count mismatch; descriptive only.,IN,
state_year,2022.0,105,105,107784.0,105,1.0,87,0.8285714285714286,18,91,105,91,85,87,Debug decomposition for treatment-count mismatch; descriptive only.,KS,
state_year,2023.0,105,105,124473.0,30,0.2857142857142857,0,0.0,30,16,30,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,KS,
state_year,2024.0,105,105,171376.0,60,0.5714285714285714,0,0.0,60,60,60,60,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,KS,
state_year,2022.0,64,64,99626.0,32,0.5,0,0.0,32,13,32,13,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,LA,
state_year,2023.0,64,64,120804.0,29,0.453125,0,0.0,29,6,28,5,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,LA,
state_year,2024.0,64,64,212493.0,14,0.21875,0,0.0,14,10,11,7,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,LA,
state_year,2022.0,83,83,303550.0,34,0.40963855421686746,3,0.03614457831325301,31,34,31,31,3,0,Debug decomposition for treatment-count mismatch; descriptive only.,MI,
state_year,2023.0,83,83,322273.0,28,0.3373493975903614,0,0.0,28,24,25,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MI,
state_year,2024.0,83,83,418100.0,32,0.3855421686746988,0,0.0,32,18,22,8,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MI,
state_year,2022.0,115,115,250341.0,89,0.7739130434782608,0,0.0,89,83,79,73,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2023.0,115,115,257629.0,74,0.6434782608695652,0,0.0,74,68,74,68,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2024.0,115,115,359369.0,40,0.34782608695652173,0,0.0,40,32,40,32,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2022.0,82,82,143014.0,82,1.0,0,0.0,82,82,82,82,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2023.0,82,82,183478.0,27,0.32926829268292684,0,0.0,27,27,27,27,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2024.0,82,82,286410.0,82,1.0,0,0.0,82,27,78,23,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2022.0,56,56,51134.0,49,0.875,0,0.0,49,0,49,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2023.0,56,56,53860.0,56,1.0,0,0.0,56,0,56,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2024.0,56,56,66336.0,1,0.017857142857142856,0,0.0,1,1,1,1,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2022.0,85,85,571027.0,85,1.0,5,0.058823529411764705,80,63,85,63,0,5,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2023.0,85,85,684479.0,76,0.8941176470588236,3,0.03529411764705882,73,37,68,29,0,3,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2024.0,85,85,877747.0,69,0.8117647058823529,0,0.0,69,56,59,46,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2022.0,53,53,29873.0,37,0.6981132075471698,0,0.0,37,0,37,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2023.0,53,53,34130.0,53,1.0,0,0.0,53,16,53,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2024.0,53,53,38535.0,30,0.5660377358490566,0,0.0,30,14,16,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2022.0,10,10,52497.0,10,1.0,0,0.0,10,10,10,10,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2023.0,10,10,54557.0,10,1.0,0,0.0,10,0,10,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2024.0,10,10,65117.0,0,0.0,0,0.0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2022.0,88,88,259999.0,80,0.9090909090909091,0,0.0,80,67,72,59,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2023.0,88,88,294644.0,50,0.5681818181818182,1,0.011363636363636364,49,45,49,44,1,1,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2024.0,88,88,477793.0,71,0.8068181818181818,0,0.0,71,62,71,62,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2022.0,77,77,189444.0,62,0.8051948051948052,0,0.0,62,29,61,28,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2023.0,77,77,203157.0,21,0.2727272727272727,0,0.0,21,21,21,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2024.0,77,77,277436.0,58,0.7532467532467533,0,0.0,58,36,50,28,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2022.0,36,36,146602.0,29,0.8055555555555556,0,0.0,29,10,25,6,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2023.0,36,36,141963.0,27,0.75,0,0.0,27,17,24,14,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2024.0,36,36,145509.0,26,0.7222222222222222,0,0.0,26,22,17,13,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2022.0,46,46,300392.0,46,1.0,0,0.0,46,44,37,35,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2023.0,46,46,382968.0,35,0.7608695652173914,1,0.021739130434782608,34,34,34,33,1,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2024.0,46,46,571175.0,46,1.0,0,0.0,46,46,23,23,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2022.0,66,65,41172.0,65,1.0,0,0.0,65,15,65,15,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2023.0,66,66,47591.0,66,1.0,0,0.0,66,42,40,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2024.0,66,66,52974.0,50,0.7575757575757576,0,0.0,50,29,30,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2022.0,95,95,273680.0,87,0.9157894736842105,0,0.0,87,71,87,71,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2023.0,95,95,348097.0,17,0.17894736842105263,0,0.0,17,9,17,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2024.0,95,95,555103.0,71,0.7473684210526316,0,0.0,71,54,63,46,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2022.0,254,254,1840940.0,194,0.7637795275590551,0,0.0,194,130,189,125,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2023.0,254,254,2410789.0,236,0.9291338582677166,8,0.031496062992125984,228,175,229,168,7,8,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2024.0,254,254,3484613.0,194,0.7637795275590551,3,0.011811023622047244,191,161,159,126,3,3,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2022.0,29,29,256932.0,22,0.7586206896551724,0,0.0,22,8,17,3,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2023.0,29,29,295196.0,28,0.9655172413793104,0,0.0,28,13,24,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2024.0,29,29,366939.0,13,0.4482758620689655,0,0.0,13,9,13,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2022.0,72,72,212209.0,57,0.7916666666666666,0,0.0,57,35,46,24,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2023.0,72,72,221128.0,40,0.5555555555555556,0,0.0,40,28,27,15,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2024.0,72,72,266327.0,48,0.6666666666666666,1,0.013888888888888888,47,22,44,18,1,1,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2022.0,55,55,23037.0,0,0.0,0,0.0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2023.0,55,55,28325.0,21,0.38181818181818183,0,0.0,21,21,21,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2024.0,55,55,51046.0,34,0.6181818181818182,0,0.0,34,1,34,1,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2022.0,23,23,34762.0,23,1.0,0,0.0,23,22,23,22,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
state_year,2023.0,23,23,38565.0,23,1.0,0,0.0,23,1,23,1,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
state_year,2024.0,23,23,42293.0,23,1.0,0,0.0,23,23,23,23,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
pooled,,6477,6476,37040733.0,4625,0.7141754169240272,123,0.018993205682520074,4502,3100,4250,2725,102,119,Debug decomposition for treatment-count mismatch; descriptive only.,,pooled
