top_two_selection_variant,exposure_universe,default_mapping_rule,premium_variant,issuer_concept,pooled_any_turnover_county_years,pooled_across_issuer_turnover_county_years,pooled_within_issuer_turnover_county_years,pooled_any_turnover_enrollee_years_millions,pooled_across_issuer_enrollee_years_millions,difference_vs_drake_any_count,difference_vs_drake_across_count,difference_vs_drake_any_enrollee_millions,difference_vs_drake_across_enrollee_millions,by_year_2022_any,by_year_2023_any,by_year_2024_any,by_year_2022_across,by_year_2023_across,by_year_2024_across,constructible_county_years,drake_text_support,notes
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,exactly_two_plans,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests whether ties are counted more broadly than one selected PlanId per rank.
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
