year_group,rule_family,variables_or_families,handling_category,working_rule,why_it_matters_for_project
2018-2023,monthly_hi_processing_error,"EMD_BMONTH; EMD_EMONTH; EMDMTH; RPUBTYPE2; other impacted monthly indicators",REPAIR,"Apply official EMONTH < MONTHCODE recodes before using monthly churn states.","Raw month-level Medicaid/public/other logic is not defensible without this fix."
2018-2023,begin_end_status_flag_error,"AMD_BMONTH; AMD_EMONTH; analogous health-insurance status flags",REPAIR,"Reset status flags to 0 when corresponding edited begin/end month variable is missing.","Raw status-flag filtering is unsafe until corrected."
2018-2022,medicaid_end_month_error,EMD_EMONTH,REPAIR,"If EMD_BMONTH > EMD_EMONTH, set EMD_EMONTH to the max MONTHCODE value for the spell.","Strict Medicaid spell timing is otherwise unreliable in 2018-2022."
2018-2023,monthly_state_rebuild,"RHLTHMTH; RPUBMTH; EMDMTH; RPUBTYPE2; EOTMTH",REPAIR_THEN_RESTRICT,"Rebuild the minimum monthly coverage layer after spell/flag correction; keep RPUBTYPE2 and EOTMTH auxiliary.","These variables define the project's churn labels."
2018-2023,uninsured_care_processing_effects,"ENOINDNT; ENOINDOC; uninsured-care family",AVOID,"Do not include in first corrected stack; correction would require custom imputation after monthly insurance repair.","Not needed to decide whether the churn/unwinding design is viable."
2018-2021,scrnr_vs_recodes,"EPR_SCRNR; EMC_SCRNR; EMD_SCRNR; EML_SCRNR; EOT_SCRNR",AVOID,"Do not use for annual estimation or cross-year bridging.","Official note says they can underestimate coverage and they disappear in 2022+ public-use."
2022-2023,annual_recodes,"RHICOVANN; RPRIVANN; RPUBANN; RMCAIDANN",SUPPLEMENTAL_ONLY,"Use only for annual validation checks, not for the core corrected monthly churn layer.","Helpful for bounded checks, but they do not solve 2018-2021 or monthly churn construction."
2018-2023,marketplace_scope,RMARKTPLACE,RESTRICT,"Keep only as marketplace-channel context, not as payer-type classification.","Official note says it does not identify coverage type."
2018-2023,other_coverage_ambiguity,EOTMTH,RESTRICT,"Retain as auxiliary flag only; do not let it redefine strict Medicaid/public categories.","Official note says reported 'other' coverage is ambiguous."
2018-2023,coverage_units_not_released,"EHIUNT1; EHIUNT2; EMLUNT; EMDUNT",AVOID,"Do not plan coverage-unit targeting from public-use SIPP alone.","The variables are not released on the checked public-use files."
2021,feedback_spell_fix,"End-month spell variables in waves 2+ cases",CAUTION,"Treat 2021 as a processing-regime breakpoint when validating cross-year comparability.","The note signals a comparability caution even after repair."
2020-2021,missing_plan_detail_values,"EHEMPLY1; EPRIVPLAN1; EHDEDPLN1; EMDPLAN; EMILITYPE",AVOID,"Leave outside the first corrected stack.","These are not needed for the first churn-layer build."
