year,state,rank,premium_variant,default_mapping_rule,across_failure_reason,plan_pair_rows,across_turnover_rows,non_across_rows
2022,AK,lowest,current_ehb_all_states,county_any_zip_across_turnover,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,county_any_zip_across_turnover,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,county_any_zip_turnover,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,county_any_zip_turnover,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,current_repo_rule,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,current_repo_rule,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,exclude_level4_5,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,exclude_level4_5,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,include_level4_5_as_missing_current,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,lowest_crosswalk_level,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,lowest_crosswalk_level,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,no_same_issuer_priority,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,no_same_issuer_priority,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,reason8_priority,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,reason8_priority,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,source_order_first_valid,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,source_order_first_valid,no_valid_crosswalk,2,0,2
2022,AK,lowest,current_ehb_all_states,whole_county_00000_only,both_positive,56,0,56
2022,AK,lowest,current_ehb_all_states,whole_county_00000_only,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,county_any_zip_across_turnover,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,county_any_zip_across_turnover,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,county_any_zip_turnover,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,county_any_zip_turnover,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,current_repo_rule,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,current_repo_rule,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,current_repo_rule,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,exclude_level4_5,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,exclude_level4_5,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,exclude_level4_5,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,include_level4_5_as_missing_current,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,include_level4_5_as_missing_current,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,lowest_crosswalk_level,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,lowest_crosswalk_level,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,no_same_issuer_priority,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,no_same_issuer_priority,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,reason8_priority,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,reason8_priority,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,reason8_priority,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,source_order_first_valid,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,source_order_first_valid,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,source_order_first_valid,zero_to_positive_but_same_issuer,20,0,20
2022,AK,lowest,ehb_named_states_only,whole_county_00000_only,both_zero,36,0,36
2022,AK,lowest,ehb_named_states_only,whole_county_00000_only,no_valid_crosswalk,2,0,2
2022,AK,lowest,ehb_named_states_only,whole_county_00000_only,zero_to_positive_but_same_issuer,20,0,20
2022,AK,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,county_any_zip_turnover,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,county_any_zip_turnover,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,current_repo_rule,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,current_repo_rule,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,exclude_level4_5,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,exclude_level4_5,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,lowest_crosswalk_level,both_positive,56,0,56
