source_path_before_migration,source_file_name_recorded,actual_curated_file_names,curated_paths,source_dataset_key,mapped_dataset_ids,document_type,coverage_status,note,size_bytes,sha256,curated_copy_count,migrated_at_utc
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2021-User-Guide-April-2026.pdf,ADARC-England-2021-User-Guide-April-2026.pdf,ADARC-England-2021-User-Guide-April-2026.pdf,curated_dataset_library\d001_adarc_2021_england_wales\01_core_metadata\ADARC-England-2021-User-Guide-April-2026.pdf,d001,d001_adarc_2021_england_wales,user_guide,fills_gap,England 2021 AD|ARC user guide,370633,45c486e0108129bb7866ccfd560c2f1c147cc86d5a8b9207925a3cae54425915,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2021-User-Guide-April-2026.pdf,ADARC-Wales-2021-User-Guide-April-2026.pdf,ADARC-Wales-2021-User-Guide-April-2026.pdf,curated_dataset_library\d001_adarc_2021_england_wales\01_core_metadata\ADARC-Wales-2021-User-Guide-April-2026.pdf,d001,d001_adarc_2021_england_wales,user_guide,fills_gap,Wales 2021 AD|ARC user guide,497230,94bea87003667ae02fcc39c9328162814266b0955ccaffd90569f3d47978ad33,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2021-data-dictionary-May-2026.xlsx,ADARC-England-2021-data-dictionary-May-2026.xlsx,ADARC-England-2021-data-dictionary-May-2026.xlsx,curated_dataset_library\d001_adarc_2021_england_wales\01_core_metadata\ADARC-England-2021-data-dictionary-May-2026.xlsx,d001,d001_adarc_2021_england_wales,data_dictionary,fills_gap,England 2021 AD|ARC data dictionary,108707,bf0dc871bde65347423c2e680daa8415ffcea6df45d7c05fb53eb2f375aac629,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2021-data-dictionary-May-2026.xlsx,ADARC-Wales-2021-data-dictionary-May-2026.xlsx,ADARC-Wales-2021-data-dictionary-May-2026.xlsx,curated_dataset_library\d001_adarc_2021_england_wales\01_core_metadata\ADARC-Wales-2021-data-dictionary-May-2026.xlsx,d001,d001_adarc_2021_england_wales,data_dictionary,fills_gap,Wales 2021 AD|ARC data dictionary,199086,fbb60a105e845e88e720fe359c599c5d6af20b5d8aeef635427e53f3f7093ab3,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx,Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx,Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx,curated_dataset_library\d001_adarc_2021_england_wales\01_core_metadata\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx,d001,d001_adarc_2021_england_wales,ons_srs_data_dictionary,useful_official_duplicate_source,Official ONS SRS structural metadata for England 2021,25456,c8e8ce5704d0dfd1c6dddd2631a7be665bd0c4b7521a35aabd073375fa627e94,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx,Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx,Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx,curated_dataset_library\d001_adarc_2021_england_wales\99_duplicates_or_uncertain\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx,d001,d001_adarc_2021_england_wales,duplicate,duplicate,Byte-identical duplicate of ONS SRS England 2021 dictionary,25456,c8e8ce5704d0dfd1c6dddd2631a7be665bd0c4b7521a35aabd073375fa627e94,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2011-User-Guide-April-2026.pdf,ADARC-England-2011-User-Guide-April-2026.pdf,ADARC-England-2011-User-Guide-April-2026.pdf,curated_dataset_library\d003_adarc_2011_england_wales\01_core_metadata\ADARC-England-2011-User-Guide-April-2026.pdf,d003,d003_adarc_2011_england_wales,user_guide,fills_gap,England 2011 AD|ARC user guide,377265,b56bd582f67c72088f6357aa6404b9a19052d3bd70a80dd929d765f9acc73dbf,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2011-User-Guide-April-2026.pdf,ADARC-Wales-2011-User-Guide-April-2026.pdf,ADARC-Wales-2011-User-Guide-April-2026.pdf,curated_dataset_library\d003_adarc_2011_england_wales\01_core_metadata\ADARC-Wales-2011-User-Guide-April-2026.pdf,d003,d003_adarc_2011_england_wales,user_guide,fills_gap,Wales 2011 AD|ARC user guide,490395,75a5b99151532072b76940e322c3d039c2e564fa9382e5bc956f50d81f713b2a,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2011-data-dictionary-April-2026.xlsx,ADARC-England-2011-data-dictionary-April-2026.xlsx,ADARC-England-2011-data-dictionary-April-2026.xlsx,curated_dataset_library\d003_adarc_2011_england_wales\01_core_metadata\ADARC-England-2011-data-dictionary-April-2026.xlsx,d003,d003_adarc_2011_england_wales,data_dictionary,fills_gap,England 2011 AD|ARC data dictionary,236735,280aca7fb81831614206db1f40c48c196cbd3c5e31e89cd81240890783170a10,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2011-data-dictionary-May-2026.xlsx,ADARC-Wales-2011-data-dictionary-May-2026.xlsx,ADARC-Wales-2011-data-dictionary-May-2026.xlsx,curated_dataset_library\d003_adarc_2011_england_wales\01_core_metadata\ADARC-Wales-2011-data-dictionary-May-2026.xlsx,d003,d003_adarc_2011_england_wales,data_dictionary,fills_gap,Wales 2011 AD|ARC data dictionary,102164,db3bf5a4dd339c6c319564842f07385710799d8bfa4c0dba685b7381f458177e,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf,ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf,ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf,curated_dataset_library\d004_ashe_2011_census_england_wales\01_core_metadata\ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf,d004,d004_ashe_2011_census_england_wales,user_guide,fills_gap,WED Drop 1 user guide,640710,60f6c7d95950a73363496d483aafcab7afc8d80e3a20d1e07ba411b1a94c7560,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf,ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf,ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf,curated_dataset_library\d004_ashe_2011_census_england_wales\01_core_metadata\ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf,d004,d004_ashe_2011_census_england_wales,user_guide,fills_gap,WED Drop 2 user guide,928486,8cc12ccb29a0b56b7762dc48adc3b901d1dbb3c16f0c01c9f46b3a344cecc677,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_Explained_ASHE-2011_Census_dataset.pdf,Data_Explained_ASHE-2011_Census_dataset.pdf,Data_Explained_ASHE-2011_Census_dataset.pdf,curated_dataset_library\d004_ashe_2011_census_england_wales\02_supporting_documents\Data_Explained_ASHE-2011_Census_dataset.pdf,d004,d004_ashe_2011_census_england_wales,data_explained,supplementary,ADR UK Data Explained,651326,9d9de7676ab7afd86709923b8c0b05cb1a50479a7521c2612c4d97d85a7a1b44,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21-User-Guide-v0.1-beta.pdf,ASHE-CEW21-User-Guide-v0.1-beta.pdf,ASHE-CEW21-User-Guide-v0.1-beta.pdf,curated_dataset_library\d005_ashe_2021_census_england_wales\01_core_metadata\ASHE-CEW21-User-Guide-v0.1-beta.pdf,d005,d005_ashe_2021_census_england_wales,user_guide,fills_gap,Beta user guide; dataset in development,788361,e5eb255bd7f33f99525d674af2d384eddd75c55bbf92838d64701ebd7411de85,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21_DataDictionary_SRS_0.1.xlsx,ASHE-CEW21_DataDictionary_SRS_0.1.xlsx,ASHE-CEW21_DataDictionary_SRS_0.1.xlsx,curated_dataset_library\d005_ashe_2021_census_england_wales\01_core_metadata\ASHE-CEW21_DataDictionary_SRS_0.1.xlsx,d005,d005_ashe_2021_census_england_wales,data_dictionary,fills_gap,Beta SRS data dictionary; dataset in development,167661,c7c1ad77587010648b7e4f2de12dc31624d6aee403da2ff76b349ce9adc9bc0b,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf,ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf,ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf,curated_dataset_library\d005_ashe_2021_census_england_wales\02_supporting_documents\ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf,d005,d005_ashe_2021_census_england_wales,synthetic_data_guide,supplementary,Guide for synthetic fake dataset,178562,686ee42ecabfea79ecbda34d353eb68461eaea87f2369219fb9a71514c14a7ea,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\synthetic.zip,synthetic.zip,synthetic.zip,curated_dataset_library\d005_ashe_2021_census_england_wales\02_supporting_documents\synthetic.zip,d005,d005_ashe_2021_census_england_wales,synthetic_data,supplementary,Synthetic fake dataset zip,7953913,209a2b0e8229dd421604652c79d4a1b05cdc2734617e3149bf95969671363251,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\synthetic (1).zip,synthetic (1).zip,synthetic (1).zip,curated_dataset_library\d005_ashe_2021_census_england_wales\99_duplicates_or_uncertain\synthetic (1).zip,d005,d005_ashe_2021_census_england_wales,duplicate,duplicate,Byte-identical duplicate of synthetic.zip,7953913,209a2b0e8229dd421604652c79d4a1b05cdc2734617e3149bf95969671363251,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\MWS-Quick-User-Guide-v02-final-Dec2025.docx,MWS-Quick-User-Guide-v02-final-Dec2025.docx,MWS-Quick-User-Guide-v02-final-Dec2025.docx,curated_dataset_library\d007_ashe_migrant_workers_scan\01_core_metadata\MWS-Quick-User-Guide-v02-final-Dec2025.docx,d007,d007_ashe_migrant_workers_scan,user_guide,fills_gap,Migrant Workers Scan quick user guide,235631,b490eef9b889e2cae3ba6e340355f55663fe001ebf88480c6777d5c9ebfa7e50,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-dictionary-MWS_Dec-25.xlsx,Data-dictionary-MWS_Dec-25.xlsx,Data-dictionary-MWS_Dec-25.xlsx,curated_dataset_library\d007_ashe_migrant_workers_scan\01_core_metadata\Data-dictionary-MWS_Dec-25.xlsx,d007,d007_ashe_migrant_workers_scan,data_dictionary,fills_gap,Migrant Workers Scan data dictionary,13007,f879a4bf1a8e6a4268ec196e04f19b14469e427db00e43394356e2a45565e5b9,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\HMRC-Quick-User-Guide-v02.docx,HMRC-Quick-User-Guide-v02.docx,HMRC-Quick-User-Guide-v02.docx,curated_dataset_library\d008_ashe_paye_self_assessment\01_core_metadata\HMRC-Quick-User-Guide-v02.docx,d008,d008_ashe_paye_self_assessment,user_guide,fills_gap,HMRC PAYE and SA quick user guide,260919,0710303807991b6f7136c2393f312871b47ddbc52c71aa951e9d3f04ef13c54f,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Master_Metadata_v5.xlsx,Master_Metadata_v5.xlsx,Master_Metadata_v5.xlsx,curated_dataset_library\d008_ashe_paye_self_assessment\01_core_metadata\Master_Metadata_v5.xlsx,d008,d008_ashe_paye_self_assessment,metadata_data_dictionary,fills_gap,Master metadata workbook for PAYE/SA WED data,98976,a1c69e9ebf2ff99cade3ca1315d92dc1da45c0105d0e1dd386ba5565d5491a9a,1,2026-06-15T16:30:34+00:00
