state_abbr,yyyymm,policy_feature,feature_value,event_id,source_id,source_url,quoted_evidence_text,confidence
AL,202303,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202304,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202305,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202306,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202307,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202308,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202309,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202310,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202311,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202312,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202401,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202402,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202403,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202404,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202405,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AL,202406,e14_total_strategy_count,15,evt_e14_AL,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alabama: total=15; ex parte=2; form support=8; contact update=0; reinstatement=2; other=3,medium
AK,202303,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202304,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202305,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202306,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202307,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202308,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202309,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202310,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202311,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202312,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202401,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202402,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202403,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202404,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202405,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AK,202406,e14_total_strategy_count,10,evt_e14_AK,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Alaska: total=10; ex parte=1; form support=5; contact update=1; reinstatement=1; other=2,medium
AZ,202303,e14_total_strategy_count,12,evt_e14_AZ,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium
AZ,202304,e14_total_strategy_count,12,evt_e14_AZ,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium
AZ,202305,e14_total_strategy_count,12,evt_e14_AZ,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium
AZ,202306,e14_total_strategy_count,12,evt_e14_AZ,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium
AZ,202307,e14_total_strategy_count,12,evt_e14_AZ,fed_cms_e14_archived_table_text,https://www.medicaid.gov/resources-for-states/coronavirus-disease-2019-covid-19/unwinding-and-returning-regular-operations-after-covid-19/covid-19-phe-unwinding-section-1902e14a-waiver-approvals,Arizona: total=12; ex parte=2; form support=5; contact update=0; reinstatement=1; other=4,medium
